slug,title,sub,status,model,desc,body1,body2,body3,body4,spec1_key,spec1_value,spec2_key,spec2_value,spec3_key,spec3_value,spec4_key,spec4_value,spec5_key,spec5_value,spec6_key,spec6_value,highlight1_key,highlight1_value,highlight2_key,highlight2_value,highlight3_key,highlight3_value,highlight4_key,highlight4_value,highlight5_key,highlight5_value,highlight6_key,highlight6_value
sunthru,SunThru,"Engineering Intern, Schenectady, NY",,panel,"Engineering Intern at SunThru in 2026, upgrading research equipment, building out PLC based automation, and retrofitting an industrial machine for commercial use.","As an Engineering Intern in Schenectady, NY (May–August 2026), I upgraded the research equipment the team relies on, so the test data coming off it was worth trusting.","Alongside that I worked on a PLC based system for industrial automation, and retrofit a large industrial machine for commercial use.","Placeholder: close with results. Numbers read best: cost saved, time cut, throughput gained, or whatever the work moved.",,Role,"Engineering Intern, May–August 2026",Field,Silica aerogel manufacturing,Location,"Schenectady, NY",Focus,Research equipment / PLC automation / machine retrofit,,,,,,,,,,,,,,,,
dreki,Dreki Systems,"Junior Design Engineer, Tysons Corner, VA",,drone,"Junior Design Engineer at Dreki Systems in 2025, establishing manufacturing systems for rapid prototyping and designing components in CAD.","As a Junior Design Engineer in Tysons Corner, VA (May–August 2025), I established manufacturing systems to support rapid prototyping and designed components in CAD across a range of engineering projects, working alongside senior engineers to develop new design solutions.",,,,Role,"Junior Design Engineer, May–August 2025",Field,Manufacturing / rapid prototyping,Focus,CAD design / systems for rapid prototyping,,,,,,,,,,,,,,,,,,
piasecki-steel,Piasecki Steel,"Engineering Shop Intern, Castleton, NY",,weldment,"Engineering Shop Intern at Piasecki Steel in 2024, developing machining templates and helping fabricate safety equipment for bridge-repair work.","As an Engineering Shop Intern in Castleton, NY (June–August 2024), I developed templates from engineering drawings to improve machining accuracy on steel components, and helped fabricate a ladder and ladder cage used to improve worker safety during bridge repairs across New York and the surrounding area.",,,,Role,"Engineering Shop Intern, June–August 2024",Field,Structural steel fabrication,Focus,Machining templates / safety equipment fabrication,,,,,,,,,,,,,,,,,,
work-study,Student Living & Learning,"Work Study, Troy, NY",,desk,Supporting RPI's Assistant Deans with day-to-day operations and fielding parent questions about students' time on campus.,"Since September 2024, I've worked as a Work Study student with RPI's Office of Student Living and Learning in Troy, NY, aiding the Assistant Deans with day-to-day tasks that keep the office running and help ensure student success.","A large part of the role is direct communication, answering questions from parents about their students' time on campus, and making sure issues get routed to the right person quickly.",,,Role,"Work Study, September 2024 – Current",Office,"Student Living and Learning, RPI",Focus,Student support / parent communication,,,,,,,,,,,,,,,,,,
best-buy,Best Buy,"Sales Advisor, Portland, ME",,storefront,"Sales Advisor at Best Buy store #531 in 2023, matching customers to the right product and walking them through protection plans and payment options.","As a Sales Advisor at store #531 in Portland, ME (summer to fall 2023), I helped customers find the product that actually fit what they were trying to do, then explained the protection plans and payment methods that applied to the purchase.",,,,Role,"Sales Advisor, Summer 2023 to Fall 2023",Store,"Best Buy #531, Portland, ME",Focus,Customer service / product fit,,,,,,,,,,,,,,,,,,
the-forge,The Forge,"Room Manager, Troy, NY",,makerspace,"Room Manager at RPI's student makerspace since 2022, helping students through rapid prototyping and DFM, and keeping the machines running.","Since the fall of 2022 I have worked as a Room Manager at The Forge, RPI's student makerspace in Troy, NY. Half the job is consulting: a student arrives with a project and no idea where to start, and I help them work out what to make it from and which process will actually get them there.","The other half is upkeep. I repair and maintain the equipment the room runs on, the 3D printers, the laser cutter, and the vinyl printer, so the machines are there when somebody needs them.",I also organized and created the Room Manager Union at The Forge.,,Role,"Room Manager, Fall 2022 to Current",Place,"The Forge, RPI's student makerspace",Focus,Rapid prototyping / DFM support,Upkeep,3D printers / laser cutter / vinyl printer,,,,,,,,,,,,,,,,
kumon,Kumon,"Instructor, Cape Elizabeth, ME",,classroom,"Kumon instructor from 2021 to 2022, building study plans and curriculums for up to fifteen students at a time.","As a Kumon instructor in Cape Elizabeth, ME (fall 2021 to summer 2022), I created study plans and curriculums for up to fifteen students at a time, built to get the most out of the hours they spent at the learning center. That covered tests, homework, and one on one sessions.",,,,Role,"Instructor, Fall 2021 to Summer 2022",Center,"Kumon, Cape Elizabeth, ME",Focus,Curriculum planning / one on one instruction,Scale,Up to fifteen students at a time,,,,,,,,,,,,,,,,
stage-crew,Waynflete Stage Crew,"Stage Manager, Portland, ME",,stage,"Stage Manager for Waynflete's productions, running the schedule and production plan for casts and crews of up to sixty people.","I worked on Waynflete's stage crew from the spring of 2018 through the summer of 2023, three of those years as Stage Manager. The role was scheduling and planning: building the production plan, running the schedule, and holding both cast and crew to it so the show came together on time.","Casts ran up to sixty people, which made the work far more about coordination than about any single task on the list.",,,Role,"Stage Manager, Spring 2018 to Summer 2023",Production,"Waynflete School, Portland, ME",Scale,Casts and crews up to sixty,Focus,Scheduling / production management,,,,,,,,,,,,,,,,
